engine_id,case_id,category,naturalness_mean,naturalness_n,instruction_match_mean,pronunciation_quality_mean,would_use_mean,reading_issue_count,note
irodori_tts,p05,pronunciation,3.0,1,,,,,
irodori_tts,x01,expression,2.0,1,,,,,
irodori_tts,x02,expression,4.0,1,,,,,
irodori_tts,x03,expression,4.0,1,,,,,
qwen3_tts,p03,pronunciation,3.0,1,,,,,
qwen3_tts,x01,expression,3.0,1,,,,,
qwen3_tts,x02,expression,4.0,1,,,,,
qwen3_tts,x03,expression,3.0,1,,,,,
style_bert_vits2,p13,pronunciation,2.0,1,,,,,
style_bert_vits2,x01,expression,2.0,1,,,,,
style_bert_vits2,x02,expression,3.0,1,,,,,
style_bert_vits2,x03,expression,3.0,1,,,,,
voicevox,x01,expression,3.0,1,,,,,
voicevox,x02,expression,3.0,1,,,,,
voicevox,x03,expression,3.0,1,,,,,
