engine_id,case_id,requested_style,duration_sec,generation_sec,generation_rtf,stt_transcript,cer,expected_reading,pronunciation_result,retry_used,human_review_required,silence_ratio,rms_dbfs,estimated_f0_hz,anomaly_flags,error
aivis,n01,neutral,8.013515,1.734059,0.216392,今日は少し雲が多いものの、ここには晴れ間が広がる見込みです外出するなら、折りたたみなさがあると安心でしょ,0.12963,,対象外,False,False,0.054863,-18.776,112.5,,
aivis,n02,calm,9.894263,2.432578,0.245857,静かな部屋で本を開くと遠くから時計の音だけが聞こえてきました 急ぐ必要はありませんゆっくり読み進めてください,0.070175,,対象外,False,False,0.294949,-20.152,400.0,,
aivis,n03,slow_explanatory,10.835873,2.236714,0.206418,まず設定画面を開きます。次に音声モデルを選択してください。最後に保存ボタンを押せば設定は完了です。,0.039216,,対象外,False,False,0.300738,-17.495,387.5,,
aivis,e01,cheerful,5.505737,1.395171,0.253403,やった! ついに完成したよ! 思っていたより ずっといい出来になったね!,0.088235,,対象外,False,False,0.333333,-17.663,375.0,,
aivis,e02,sad,5.19229,1.308749,0.252056,そうなんだもう会えないと思うとやっぱり少し寂しいね,0.107143,,対象外,False,False,0.342308,-17.668,200.0,,
aivis,e03,angry,5.505714,1.364422,0.247819,それは違うよ、約束したこと、なかったことにはできないでしょう,0.09375,,対象外,False,False,0.351449,-17.903,500.0,,
aivis,e04,energetic,5.069592,1.33722,0.263773,さあ始めよう。準備はできてる?今日は一気に最後までやってみよう,0.090909,,対象外,False,False,0.299213,-17.841,162.5,,
aivis,e05,whisper_or_soft,4.832381,1.685093,0.348709,小さな声で話すね、みんなが眠っているから起こさないようにしよう,0.090909,,対象外,False,False,0.061983,-17.867,125.0,,
aivis,e06,fast_excited,5.112472,1.819568,0.355908,聞いて聞いてすごいことがあったんだ。さっき結果が出て、全部うまくいったんだよ。,0.075,,対象外,False,False,0.289062,-18.17,462.5,,
aivis,p01,neutral,3.032834,0.973718,0.321059,今日は一日中治療を整理していました,0.210526,いちにちじゅう,不合格,True,False,0.078947,-15.706,50.0,,
aivis,p02,neutral,3.485624,1.055804,0.302902,来月1日に新しいサービスを開始します,0.15,ついたち,要確認,True,True,0.08,-16.314,150.0,,
aivis,p03,neutral,3.938413,1.279884,0.324975,生物学の研究者が新しい論文を発表しました,0.090909,せいぶつがく,要確認,False,True,0.076142,-15.593,62.5,,
aivis,p04,neutral,3.950023,1.231691,0.311819,この生物は痛みやすいので、映像庫に入れてください,0.16,なまもの,要確認,False,True,0.085859,-17.83,125.0,,
aivis,p05,neutral,3.729433,1.147335,0.307643,国内の市場規模は前年より大きくなりました,0.090909,しじょう,不合格,True,False,0.058824,-16.18,50.0,,
aivis,p06,neutral,2.893515,0.944095,0.32628,朝、市場で賃鮮な魚を買いました,0.125,いちば,合格,True,False,0.082759,-16.389,150.0,,
aivis,p07,neutral,3.032834,1.013441,0.334156,こういった件には、温センチが数多くあります,0.647059,おおいたけん,要確認,False,True,0.092105,-15.635,137.5,,
aivis,p08,neutral,2.568435,0.833974,0.324701,薄りを飲んだらだいぶよくなりました,0.352941,だいぶ,不合格,True,False,0.100775,-15.829,50.0,,
aivis,p09,neutral,2.963175,0.956466,0.322784,東京都中央区の日本橋へ向かいます,0.058824,にほんばし,不合格,True,False,0.09396,-15.277,50.0,,
aivis,p10,neutral,3.114104,0.965865,0.310158,大阪市何枠の日本橋を歩きました,0.235294,にっぽんばし,合格,True,False,0.108974,-14.891,50.0,,
aivis,p11,neutral,2.521995,0.883528,0.350329,冒険空域で地下鉄を乗り換えます,0.3125,ごきそ,要確認,False,True,0.110236,-17.89,50.0,,
aivis,p12,neutral,3.195374,1.059469,0.331563,原田桃市駅の改札前で待ち合わせましょう,0.263158,あらたまばし,要確認,False,True,0.09375,-15.205,187.5,,
aivis,p13,neutral,3.009615,0.953102,0.316686,サコウ域から名古屋駅までは近いです,0.294118,さこう,要確認,True,True,0.086093,-17.112,175.0,,
aivis,m01,neutral,4.321542,1.371674,0.317404,2026年9月6日の午後2時30分に開始します,0.041667,,対象外,False,False,0.069124,-14.645,50.0,,
aivis,m02,neutral,6.132698,1.665616,0.271596,成功率は98.5%で、前回より3.2ポイント改善しました,0.181818,,対象外,False,False,0.068404,-15.783,50.0,,
aivis,m03,neutral,5.35483,1.512833,0.282517,APIからJSONを受け取り、GPUでDTSモデルを実行します,0.0625,,対象外,False,False,0.08209,-15.526,175.0,,
aivis,m04,neutral,5.0878,1.473727,0.289659,リッド・ハブのウィル・ミート・パイソン312の環境を確認してください,0.567568,,対象外,False,False,0.058824,-15.154,112.5,,
aivis,q01,neutral,7.839365,1.991315,0.254015,結論は3つです。第一に、精度、第二に、自然さ、そして第三に、無業のしやさです。,0.15,,対象外,False,False,0.056122,-17.166,50.0,,
aivis,q02,neutral,4.124172,1.2998,0.315166,本当に、それならもう一度だけ試してみよう,0.321429,,対象外,False,False,0.10628,-15.045,112.5,,
aivis,q03,neutral,3.996463,1.270168,0.317823,注意してください。ここから先は元に戻せません,0.16,,対象外,False,False,0.07,-17.325,125.0,,
